index,Name,Partei,Bildungsgrad,Abschluss,Vormalige Ämter,Beruf
0,"Abercron, Michael von",Union,Promotion,Abitur,Landtag,Unternehmer
1,"Aggelidis, Grigorios",FDP,Berufsausbildung,Abitur,Kein politisches Amt,Unternehmer
2,"Albani, Stephan",Union,Masterabschluss,Abitur,Kein politisches Amt,Unternehmer
3,"Alt, Renata",FDP,Masterabschluss,Abitur,Kommunales Führungsamt,Politik
4,"Altenkamp, Norbert",Union,Masterabschluss,Abitur,Kommunales Führungsamt,Politik
5,"Altmaier, Peter",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
6,Amira Mohamed Ali,Die Linke,Masterabschluss,Keine Daten,Keine Daten,Keine Daten
7,"Amthor, Philipp",Union,Staatsexamen,Abitur,Kein politisches Amt,Politik
8,"Amtsberg, Luise",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
9,"Andreae, Kerstin",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
10,Andreas Wagner,Die Linke,Duales Studium,Keine Daten,Keine Daten,Keine Daten
11,Andrej Hunko,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
12,Anke Domscheit-Berg,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
13,"Annen, Niels",SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,NGO/Vereinstätigkeit
14,"Arndt-Brauer, Ingrid",SPD,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
15,"Aschenberg-Dugnus, Christine",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
16,"Auernhammer, Artur",Union,Berufsausbildung,Mittlere Reife,Kommunale Räte,Landwirtschaft
17,"Aumer, Peter",Union,Duales Studium,Mittlere Reife,Kommunale Räte,Privatwirtschaft/Management
18,"Badum, Lisa",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
19,"Baehrens, Heike",SPD,Masterabschluss,Keine Daten,Kommunale Räte,NGO/Vereinstätigkeit
20,"Baerbock, Annalena",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
21,"Bahr, Ulrike ",SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,NGO/Vereinstätigkeit
22,"Baradari, Nezahat",SPD,Staatsexamen,Abitur,Kommunales Führungsamt,NGO/Vereinstätigkeit
23,"Bareiß, Thomas",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
24,"Barley, Katarina",SPD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Richteramt
25,"Barnett, Doris ",SPD,Staatsexamen,Abitur,Kommunales Führungsamt,Soziale Arbeit und Kinderbetreuung
26,"Barthle, Norbert",Union,Staatsexamen,Abitur,Kein politisches Amt,Politik
27,"Bartol, Sören ",SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Politik
28,"Bas, Bärbel",SPD,Berufsausbildung,Hauptschulabschluss,Keine Daten,Privatwirtschaft/Management
29,"Bauer, Nicole",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
30,"Baumann, Bernd",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
31,"Bause, Margarete",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
32,"Bayaz, Danyal",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
33,"Bayram, Canan",Die Grünen,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
34,"Beeck, Jens",FDP,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
35,"Beer, Nicola",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
36,"Beermann, Maik",Union,Duales Studium,Mittlere Reife,Kommunale Räte,Bankwesen
37,"Behrens, Manfred",Union,Berufsausbildung,Hauptschulabschluss,Kommunales Führungsamt,Politik
38,"Bellmann, Veronika",Union,Duales Studium,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
39,"Benning, Sybille",Union,Masterabschluss,Abitur,Kommunale Räte,Unternehmer
40,"Berghegger, André",Union,Promotion,Abitur,Kommunales Führungsamt,Politik
41,Bernd Riexinger,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
42,"Bernhard, Marc",AfD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
43,"Bernstein, Melanie",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
44,"Bernstiel, Christoph",Union,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
45,"Beyer, Peter",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
46,"Biadacz, Mark",Union,Masterabschluss,Abitur,Kommunale Räte,Politik
47,"Bilger, Steffen",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
48,"Binding, Lothar",SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Ingenieurwesen und Bau
49,Birke Bull-Bischoff,Die Linke,Berufsausbildung,Abitur,Keine Daten,Keine Daten
50,"Bleck, Andreas",AfD,Bachelorabschluss,Abitur,Kommunale Räte,Politik
51,"Bleser, Peter",Union,Berufsausbildung,Hauptschulabschluss,Kommunale Räte,Landwirtschaft
52,"Boehringer, Peter",AfD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
53,"Brackmann, Norbert",Union,Staatsexamen,Abitur,Kommunale Räte,Journalismus
54,"Brand, Michael",Union,Masterabschluss,Abitur,Kein politisches Amt,Politik
55,"Brandenburg, Jens",FDP,Promotion,Abitur,Kein politisches Amt,Privatwirtschaft/Management
56,"Brandenburg, Mario",FDP,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
57,"Brandl, Reinhard",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
58,"Brandner, Stephan",AfD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Privatwirtschaft/Management
59,"Brantner, Franziska",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
60,"Braun, Helge",Union,Promotion,Abitur,Kommunale Räte,Wissenschaft
61,"Braun, Jürgen",AfD,Staatsexamen,Abitur,Kein politisches Amt,PR/Werbung
62,"Breher, Silvia",Union,Staatsexamen,Abitur,Kein politisches Amt,Lobbyismus/Aktivismus
63,"Brehm, Sebastian",Union,Masterabschluss,Abitur,Kommunale Räte,Steuerberatung und Wirtschaftsprüfung
64,"Brehmer, Heike",Union,Masterabschluss,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Verwaltung
65,"Breymaier, Leni",SPD,Staatsexamen,Mittlere Reife,Kein politisches Amt,Gewerkschaft
66,Brigitte Freihold,Die Linke,Berufsausbildung,Abitur,Keine Daten,Keine Daten
67,"Brinkhaus, Ralph",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Steuerberatung und Wirtschaftsprüfung
68,"Brodesser, Carsten",Union,Promotion,Abitur,Kein politisches Amt,Privatwirtschaft/Management
69,"Brugger, Agnieszka",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
